Crandall University,CollegeOrUniversity|EducationalInstitution|EducationalOrganization|Organisation|Organization|SocialPerson
Anne Brontë,Person|NaturalPerson
Alexander Grothendieck,Person|NaturalPerson
Andrew Wiles,Person|NaturalPerson
Auschwitz concentration camp,Place|Location
Augustine of Hippo,Cleric|Person|NaturalPerson
Aristide Maillol,Person|NaturalPerson
Antonio Canova,Person|NaturalPerson
Amerigo Vespucci,Person|NaturalPerson
Auguste Rodin,Person|NaturalPerson
Adam Weishaupt,Person|NaturalPerson
Acorn Electron,Device
Acropolis of Athens,Place|Location
A Fire Upon the Deep,Book|WrittenWork|Work|CreativeWork
Andrew Tridgell,Person|NaturalPerson
Auguste and Louis Lumière,Person|NaturalPerson
Aphasia,None
Aorta,AnatomicalStructure
Assyria,Country|PopulatedPlace|Place|Location
Ann Arbor Michigan,City|Settlement|PopulatedPlace|Place|Location
Applesoft BASIC,Work|CreativeWork
Adalbert of Prague,Cleric|Person|NaturalPerson
IBM AIX,Work|CreativeWork
Apple III,Device
Ælfheah of Canterbury,Cleric|Person|NaturalPerson
Atlanta Falcons,SportsTeam|Organisation|Organization|SocialPerson
Arizona Cardinals,SportsTeam|Organisation|Organization|SocialPerson
Ani DiFranco,Artist|Person|NaturalPerson|MusicGroup
Astrology,Document|Work|CreativeWork
Arizona Diamondbacks,SportsTeam|Organisation|Organization|SocialPerson
Atari ST,Device
Anton Drexler,Person|NaturalPerson
All Quiet on the Western Front,Book|WrittenWork|Work|CreativeWork
African Americans,None
Aaliyah,Person|NaturalPerson|Document|Work|CreativeWork
Afrikaans,Language
Atlanta Braves,SportsTeam|Organisation|Organization|SocialPerson
Ahmad Shah Massoud,Person|NaturalPerson
Armadillo,Animal|Eukaryote|Species
Arcadius,Person|NaturalPerson
Abdulaziz al-Omari,Person|NaturalPerson
Amstrad CPC,Device
Aage Bohr,Person|NaturalPerson
Arabs,None
Arsenal F.C.,SportsTeam|Organisation|Organization|SocialPerson
Arsenal F.C. Mathieu Debuchy,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Kieran Gibbs,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Per Mertesacker,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Gabriel,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Laurent Koscielny,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Alexis Sánchez,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Aaron Ramsey,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Lucas Pérez,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Mesut Özil,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Olivier Giroud,OrganisationMember|Person|NaturalPerson
Arsenal F.C. David Ospina,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Theo Walcott,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Alex Oxlade-Chamberlain,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Rob Holding,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Alex Iwobi,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Nacho Monreal,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Santi Cazorla,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Shkodran Mustafi,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Yaya Sanogo,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Danny Welbeck,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Héctor Bellerín,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Carl Jenkinson,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Emiliano Martínez,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Granit Xhaka,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Jeff Reine-Adélaïde,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Chuba Akpom,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Petr Čech,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Francis Coquelin,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Mohamed Elneny,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Wojciech Szczęsny,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Jack Wilshere,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Calum Chambers,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Joel Campbell,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Takuma Asano,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Ismaël Bennacer,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Krystian Bielik,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Marc Bola,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Tolaji Bola,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Gedion Zelalem,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Josh Dasilva,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Kristopher Da Graca,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Aaron Eyoma,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Charlie Gilmour,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Kaylen Hinds,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Dejan Iliev,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Chiori Johnson,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Hugo Keto,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Ainsley Maitland-Niles,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Stephy Mavididi,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Marcus McGuane,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Savvas Mourgos,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Tyrell Robinson,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Ben Sheaf,OrganisationMember|Person|NaturalPerson
Arsenal F.C. Chris Willock,OrganisationMember|Person|NaturalPerson
Sid Meier's Alpha Centauri,Software|Work|CreativeWork
